honorific_title,first_name,last_name,username,profile_URL,status,gender,political_affiliation,constituency,province_territory
NA,Marilene,Gill,marilenegill506,https://www.youtube.com/@marilenegill506,Inactive,Man,Bloc Québécois,Manicouagan,Quebec
NA,Marilyn,Gladu,MarilynGladuSL,https://www.youtube.com/@MarilynGladuSL,Active,Woman,Conservative,Sarnia-Lambton,Ontario
NA,Joël,Godin,joelgodindeputeportneuf-ja9732,https://www.youtube.com/@joelgodindeputeportneuf-ja9732,Inactive,Man,Conservative,Portneuf-Jacques-Cartier,Quebec
NA,Laila,Goodridge,Laila.Goodridge,https://www.youtube.com/@Laila.Goodridge,Active,Woman,Conservative,Fort McMurray-Cold Lake,Alberta
Hon.,Karina,Gould,karinagouldm.p.5159,https://www.youtube.com/@karinagouldm.p.5159,Active,Woman,Liberal,Burlington,Ontario
NA,Jacques,Gourde,jacquesgourdeMPLevisLotbiniere,https://www.youtube.com/@jacquesgourdeMPLevisLotbiniere,Inactive,Man,Conservative,Levis-Lotbinière,Quebec
NA,Tracy,Gray,mptracygray6503,https://www.youtube.com/@mptracygray6503,Active,Woman,Conservative,Kelowna-Lake Country,British Columbia
NA,Matthew,Green,MatthewGreenNDP,https://www.youtube.com/@MatthewGreenNDP,Inactive,Man,NDP,Hamilton Centre,Ontario
Hon.,Steven,Guilbeault,Steven_Guilbeault,https://www.youtube.com/@Steven_Guilbeault,Active,Man,Liberal,Laurier-Sainte-Marie,Quebec
Hon.,Patty,Hajdu,mppattyhajdu7869,https://www.youtube.com/@mppattyhajdu7869,Inactive,Woman,Liberal,Thunder Bay-Superior North,Ontario
NA,Jasraj Singh ,Hallan,JasrajSHallan,https://www.youtube.com/@JasrajSHallan,Active,Man,Conservative,Calgary Forest Lawn,Alberta
NA,Ken,Hardie,kenhardie1945,https://www.youtube.com/@kenhardie1945,Inactive,Man,Liberal,Fleetwood-Port Kells,British Columbia
NA,Randy,Hoback,randyhobackmp,https://www.youtube.com/@randyhobackmp,Active,Man,Conservative,Prince Albert,Saskatchewan
Hon.,Mark,Holland,markholland3188,https://www.youtube.com/@markholland3188,Inactive,Man,Liberal,Ajax,Ontario
NA,Anthony,Housefather,anthonyhousefather3734,https://www.youtube.com/@anthonyhousefather3734,Active,Man,Liberal,Mount Royal,Quebec
Hon.,Ahmed,Hussen,Hon.AhmedHussen,https://www.youtube.com/@Hon.AhmedHussen,Active,Man,Liberal,York South-Weston,Ontario
Hon.,Gudie,Hutchings,ms.gudiehutchingsmpdeputee7485,https://www.youtube.com/@ms.gudiehutchingsmpdeputee7485,Inactive,Woman,Liberal,Long Range Mountains,Newfoundland and Labrador
NA,Angelo,Iacono,angeloiacono7193,https://www.youtube.com/@angeloiacono7193,Inactive,Man,Liberal,Alfred-Pellan,Quebec
NA,Lori,Idlout,loriidlout8929,https://www.youtube.com/@loriidlout8929,Inactive,Woman,NDP,Nunavut,Nunavut
Hon.,Marci,Ien,MarciienTV,https://www.youtube.com/@MarciienTV,Active,Woman,Liberal,Toronto Centre,Ontario
Hon.,Helena,Jaczek,dr.helenajaczekmp1559,https://www.youtube.com/@dr.helenajaczekmp1559,Active,Woman,Liberal,Markham-Stouffville,Ontario
NA,Matt,Jeneroux,mattjeneroux5579,https://www.youtube.com/@mattjeneroux5579,Inactive,Man,Conservative,Edmonton Riverbend,Alberta
NA,Jamil,Jivani,JamilforDurham,https://www.youtube.com/@JamilforDurham,Inactive,Man,Conservative,Durham,Ontario
NA,Gord,Johns,gordjohns6950,https://www.youtube.com/@gordjohns6950,Active,Man,NDP,Courtenay-Alberni,British Columbia
Hon.,Mélanie,Joly,melaniejoly7305,https://www.youtube.com/@melaniejoly7305,Inactive,Woman,Liberal,Ahuntsic-Cartierville,Quebec
NA,Yvonne,Jones,YvonneJonesLabrador,https://www.youtube.com/@YvonneJonesLabrador,Inactive,Woman,Liberal,Labrador,Newfoundland and Labrador
NA,Peter,Julian,PeterJulianMP,https://www.youtube.com/@PeterJulianMP,Inactive,Man,NDP,New Westminster-Burnaby,British Columbia
NA,Arielle,Kayabaga,MPArielleKayabaga,https://www.youtube.com/@MPArielleKayabaga,Active,Woman,Liberal,London West,Ontario
NA,Pat,Kelly,patkelly746,https://www.youtube.com/@patkelly746,Active,Man,Conservative,Calgary Rocky Ridge,Alberta
NA,Iqra,Khalid,iqrakhalid729,https://www.youtube.com/@iqrakhalid729,Inactive,Woman,Liberal,Mississauga-Erin Mills,Ontario
NA,Arpan,Khanna,arpan_khanna,https://www.youtube.com/@arpan_khanna,Inactive,Man,Conservative,Oxford,Ontario
Hon.,Kamal,Khera,KamalKheraLib,https://www.youtube.com/@KamalKheraLib,Active,Woman,Liberal,Brampton West,Ontario
NA,Robert,Kitchen,robertkitchen6499,https://www.youtube.com/@robertkitchen6499,Inactive,Man,Conservative,Souris-Moose Mountain,Saskatchewan
NA,Tom,Kmiec,tomkmiec2030,https://www.youtube.com/@tomkmiec2030,Inactive,Man,Conservative,Calgary Shepard,Alberta
NA,Annie,Koutrakis,anniekoutrakis2525,https://www.youtube.com/@anniekoutrakis2525,Inactive,Woman,Liberal,Vimy,Quebec
NA,Michael,Kram,MichaelKramSK,https://www.youtube.com/@MichaelKramSK,Active,Man,Conservative,Regina-Wascana,Saskatchewan
NA,Shelby,Kramp-Neuman,shelbykramp-neumanmp,https://www.youtube.com/@shelbykramp-neumanmp,Active,Woman,Conservative,Hastings-Lennox and Addington,Ontario
NA,Damien,Kurek,dckurek,https://www.youtube.com/@dckurek,Active,Man,Conservative,Battle River-Crowfoot,Alberta
NA,Stephanie,Kusie,StephanieKusieMP,https://www.youtube.com/@StephanieKusieMP,Active,Woman,Conservative,Calgary Midnapore,Alberta
NA,Irek,Kusmierczyk,mpirekkusmierczyk7840,https://www.youtube.com/@mpirekkusmierczyk7840,Active,Man,Liberal,Windsor-Tecumseh,Ontario
NA,Jenny,Kwan,jennykwanmp3473,https://www.youtube.com/@jennykwanmp3473,Active,Woman,NDP,Vancouver East,British Columbia
Hon.,Mike,Lake,mikelakeoffice,https://www.youtube.com/@mikelakeoffice,Inactive,Man,Conservative,Edmonton-Wetaskiwin,Alberta
NA,Marie-France,Lalonde,Marie-FranceLalonde,https://www.youtube.com/@Marie-FranceLalonde,Active,Woman,Liberal,Orleans,Ontario
NA,Emmanuella,Lambropoulos,officialemmanuellalambropo1623,https://www.youtube.com/@officialemmanuellalambropo1623,Inactive,Woman,Liberal,Saint-Laurent,Quebec
NA,Kevin,Lamoureux,KevinLamoureuxMP,https://www.youtube.com/@KevinLamoureuxMP,Inactive,Man,Liberal,Winnipeg North,Manitoba
NA,Melissa,Lantsman,MelissaLantsman,https://www.youtube.com/@MelissaLantsman,Active,Woman,Conservative,Thornhill,Ontario
NA,Viviane,Lapointe,VivforSudbury,https://www.youtube.com/@VivforSudbury,Inactive,Woman,Liberal,Sudbury,Ontario
NA,Andréanne,Larouche,andreannelarouchedeputeede9783,https://www.youtube.com/@andreannelarouchedeputeede9783,Inactive,Woman,Bloc Québécois,Shefford,Quebec
NA,Stéphane,Lauzon,stephanelauzon7515,https://www.youtube.com/@stephanelauzon7515,Inactive,Man,Liberal,Argenteuil-La Petite-Nation,Quebec
NA,Philip,Lawrence,MPphiliplawrence,https://www.youtube.com/@MPphiliplawrence,Active,Man,Conservative,Northumberland-Peterborough South,Ontario
Hon.,Dominic,Leblanc,DominicLeblancMP,https://www.youtube.com/@DominicLeblancMP,Inactive,Man,Liberal,Beausejour,New Brunswick
Hon.,Diane,Lebouthillier,dianelebouthillier6450,https://www.youtube.com/@dianelebouthillier6450,Inactive,Woman,Liberal,Gaspesie-Les Îles-de-la-Madeleine,Quebec
NA,Sébastien,Lemire,sebastienlemire9488,https://www.youtube.com/@sebastienlemire9488,Inactive,Man,Bloc Québécois,Abitibi-Temiscamingue,Quebec
NA,Branden,Leslie,brandenleslie,https://www.youtube.com/@brandenleslie,Active,Man,Conservative,Portage-Lisgar,Manitoba
NA,Leslyn,Lewis,LeslynLewisMP,https://www.youtube.com/@LeslynLewisMP,Active,Woman,Conservative,Haldimand-Norfolk,Ontario
NA,Chris,Lewis,chrislewismpessex,https://www.youtube.com/@chrislewismpessex,Active,Man,Conservative,Essex,Ontario
NA,Ron,Liepert,ronliepertmp4074,https://www.youtube.com/@ronliepertmp4074,Inactive,Man,Conservative,Calgary Signal Hill,Alberta
NA,Joël,Lightbound,joellightbound8982,https://www.youtube.com/@joellightbound8982,Inactive,Man,Liberal,Louis-Hebert,Quebec
NA,Dane,Lloyd,danelloydmp4541,https://www.youtube.com/@danelloydmp4541,Active,Man,Conservative,Sturgeon River-Parkland,Alberta
NA,Ben,Lobb,benlobb9956,https://www.youtube.com/@benlobb9956,Inactive,Man,Conservative,Huron-Bruce,Ontario
NA,Wayne,Long,waynelong2815,https://www.youtube.com/@waynelong2815,Inactive,Man,Liberal,Saint John-Rothesay,New Brunswick
NA,Lloyd,Longfield,LloydLongfield,https://www.youtube.com/@LloydLongfield,Active,Man,Liberal,Guelph,Ontario
NA,Tim,Louis,timlouiskitcon,https://www.youtube.com/@timlouiskitcon,Active,Man,Liberal,Kitchener-Conestoga,Ontario
Hon.,Lawrence,MacAulay,lawrencemacaulay1022,https://www.youtube.com/@lawrencemacaulay1022,Inactive,Man,Liberal,Cardigan,Prince Edward Island
NA,Alistair,MacGregor,alistairmacgregor5733,https://www.youtube.com/@alistairmacgregor5733,Active,Man,NDP,Cowichan-Malahat-Langford,British Columbia
Hon.,Steven,MacKinnon,stevenmackinnon3898,https://www.youtube.com/@stevenmackinnon3898,Inactive,Man,Liberal,Gatineau,Quebec
NA,Larry,Maguire,larrymaguire307,https://www.youtube.com/@larrymaguire307,Active,Man,Conservative,Brandon-Souris,Manitoba
NA,Shuvaloy,Majumdar,shuvmajumdar,https://www.youtube.com/@shuvmajumdar,Active,Man,Conservative,Calgary Heritage,Alberta
NA,Lisa,Marie Barron,lisamarie1190,https://www.youtube.com/@lisamarie1190,Active,Woman,NDP,Nanaimo-Ladysmith,British Columbia
NA,Brian,Masse,MasseMP,https://www.youtube.com/@MasseMP,Inactive,Man,NDP,Windsor West,Ontario
NA,Lindsay,Mathyssen,lindsaymathyssen9964,https://www.youtube.com/@lindsaymathyssen9964,Inactive,Woman,NDP,London-Fanshawe,Ontario
NA,Bryan,May,bryanmay1929,https://www.youtube.com/@bryanmay1929,Inactive,Man,Liberal,Cambridge,Ontario
NA,Dan,Mazier,danmazier2110,https://www.youtube.com/@danmazier2110,Inactive,Man,Conservative,Dauphin-Swan River-Neepawa,Manitoba
NA,Kelly,McCauley,kellymccauley4850,https://www.youtube.com/@kellymccauley4850,Inactive,Man,Conservative,Edmonton West,Alberta
NA,Ken,McDonald,kenmcdonald5369,https://www.youtube.com/@kenmcdonald5369,Inactive,Man,Liberal,Avalon,Newfoundland and Labrador
Hon.,David,McGuinty,davidmcguinty,https://www.youtube.com/@davidmcguinty,Active,Man,Liberal,Ottawa South,Ontario
Hon.,John,McKay,hon.johnmckayp.c.m.p.3480,https://www.youtube.com/@hon.johnmckayp.c.m.p.3480,Active,Man,Liberal,Scarborough-Guildwood,Ontario
NA,Ron,McKinnon,ronmckinnonmp1442,https://www.youtube.com/@ronmckinnonmp1442,Inactive,Man,Liberal,Coquitlam-Port Coquitlam,British Columbia
NA,Greg,McLean,GregMcLeanYYC,https://www.youtube.com/@GregMcLeanYYC,Active,Man,Conservative,Calgary Centre,Alberta
NA,Heather,McPherson,heathermcpherson2548,https://www.youtube.com/@heathermcpherson2548,Active,Woman,NDP,Edmonton Strathcona,Alberta
NA,Eric,Melillo,mpericmelillo4622,https://www.youtube.com/@mpericmelillo4622,Inactive,Man,Conservative,Kenora,Ontario
NA,Alexandra,Mendès,AlexandraMendesMP,https://www.youtube.com/@AlexandraMendesMP,Inactive,Woman,Liberal,Brossard-Saint-Lambert,Quebec
Hon.,Marco,Mendicino,marcomendicino7605,https://www.youtube.com/@marcomendicino7605,Inactive,Man,Liberal,Eglinton-Lawrence,Ontario
Hon.,Marc,Miller,marcmillerdeputemp6978,https://www.youtube.com/@marcmillerdeputemp6978,Inactive,Man,Liberal,Ville-Marie-Le Sud-Ouest-Île-des-Soeurs,Quebec
NA,Marty,Morantz,Marty_Morantz,https://www.youtube.com/@Marty_Morantz,Active,Man,Conservative,Charleswood-St. James-Assiniboia-Headingley,Manitoba
NA,Mike,Morrice,mikemorricekitchenercentre1251,https://www.youtube.com/@mikemorricekitchenercentre1251,Active,Man,Green Party,Kitchener Centre,Ontario
NA,Rob,Morrison,robmorrisonmp9169,https://www.youtube.com/@robmorrisonmp9169,Active,Man,Conservative,Kootenay-Columbia,British Columbia
NA,Robert,Morrissey,robertmorrissey9534,https://www.youtube.com/@robertmorrissey9534,Inactive,Man,Liberal,Egmont,Prince Edward Island
NA,Glen,Motz,glenmotz1963,https://www.youtube.com/@glenmotz1963,Inactive,Man,Conservative,Medicine Hat-Cardston-Warner,Alberta
Hon.,Joyce,Murray,mpjoycemurray,https://www.youtube.com/@mpjoycemurray,Inactive,Woman,Liberal,Vancouver Quadra,British Columbia
NA,Dan,Muys,DanMuysMP,https://www.youtube.com/@DanMuysMP,Active,Man,Conservative,Flamborough-Glanbrook,Ontario
NA,Yasir,Naqvi,yasirnaqvi-mpdepute7991,https://www.youtube.com/@yasirnaqvi-mpdepute7991,Active,Man,Liberal,Ottawa Centre,Ontario
NA,John,Nater,JohnNaterMP,https://www.youtube.com/@JohnNaterMP,Active,Man,Conservative,Perth-Wellington,Ontario
Hon.,Mary,Ng,maryngmpmarkham-thornhill5343,https://www.youtube.com/@maryngmpmarkham-thornhill5343,Inactive,Woman,Liberal,Markham-Thornhill,Ontario
NA,Taleeb,Noormohamed,taleebnoormohamed8437,https://www.youtube.com/@taleebnoormohamed8437,Inactive,Man,Liberal,Vancouver Granville,British Columbia
NA,Christine,Normandin,christinenormandinBQ,https://www.youtube.com/@christinenormandinBQ,Inactive,Woman,Bloc Québécois,Saint-Jean,Quebec
NA,Jennifer,O'Connell,jenniferoconnell6006,https://www.youtube.com/@jenniferoconnell6006,Inactive,Woman,Liberal,Pickering-Uxbridge,Ontario
Hon.,Seamus,O'Regan,seamusoregan7376,https://www.youtube.com/@seamusoregan7376,Active,Man,Liberal,St. John's South-Mount Pearl,Newfoundland and Labrador
Hon.,Robert,Oliphant,roboliphant1226,https://www.youtube.com/@roboliphant1226,Inactive,Man,Liberal,Don Valley West,Ontario
NA,Jeremy,Patzer,jeremypatzerm.p.3832,https://www.youtube.com/@jeremypatzerm.p.3832,Active,Man,Conservative,Cypress Hills-Grasslands,Saskatchewan
NA,Pierre,Paul-Hus,pierrepaul-hus5517,https://www.youtube.com/@pierrepaul-hus5517,Inactive,Man,Conservative,Charlesbourg-Haute-Saint-Charles,Quebec
NA,Monique,Pauzé,moniquepauze5343,https://www.youtube.com/@moniquepauze5343,Active,Woman,Bloc Québécois,Repentigny,Quebec
NA,Rick,Perkins,rickperkinsmp3534,https://www.youtube.com/@rickperkinsmp3534,Inactive,Man,Conservative,South Shore-St. Margarets,Nova Scotia
NA,Yves,Perron,yvesperron3376,https://www.youtube.com/@yvesperron3376,Active,Man,Bloc Québécois,Berthier-Maskinonge,Quebec
Hon.,Ginette,Petitpas Taylor,ginettepetitpastaylor3020,https://www.youtube.com/@ginettepetitpastaylor3020,Inactive,Woman,Liberal,Moncton-Riverview-Dieppe,New Brunswick
Hon.,Pierre,Poilievre,PierrePoilievre,https://www.youtube.com/@PierrePoilievre,Active,Man,Conservative,Carleton,Ontario
Hon.,Carla,Qualtrough,mpcarlaqualtrough4736,https://www.youtube.com/@mpcarlaqualtrough4736,Inactive,Woman,Liberal,Delta,British Columbia
NA,Alain,Rayes,alainrayes9129,https://www.youtube.com/@alainrayes9129,Inactive,Man,Independent,Richmond-Arthabaska,Quebec
NA,Brad,Redekopp,bradredekopp4133,https://www.youtube.com/@bradredekopp4133,Active,Man,Conservative,Saskatoon West,Saskatchewan
